species,N,BM,sdBM,seBM,VO2,sd_VO2,seVO2,VO2sp,sdVO2sp,seVO2sp
E_amathites,7,8.779,1.828,0.691,0.737,0.507,0.192,0.081614286,0.052639954,0.019896032
E_divaricatus,8,8.367,1.313,0.758,1.1786,0.4301,0.1625,0.098839583,0.042948552,0.015184606
E_nanuzae,5,3.704,0.841,0.376,0.342,0.263,0.118,0.10784,0.092334896,0.041293421
T_catalanensis,5,33.675,9.437,4.22,4.58,4.85,2.169,0.150017309,0.120011201,0.033285118
T_cocorobensis,7,9.679,2.229,0.842,3.389,1.762,0.666,0.383657143,0.254708192,0.096270647
T_erythrocephalus,9,11.0978,3.331,1.11,1.815,1.374,0.458,0.154922222,0.121863682,0.040621227
T_aff_etheridgei,5,15.38,2.621,1.172,1.207,0.351,0.157,0.07796,0.016834281,0.007528519
T_hispidus,9,51.162,18.427,6.142,2.598,1.232,0.411,0.08575509,0.046821113,0.0107415
T_hygomi,8,15.1,1.556,1.1,1.2109,0.9213,0.3257,0.100342709,0.074575891,0.026366559
T_imbituba,10,43.606,15.463,5.154,2.742,1.599,0.506,0.06423,0.031829722,0.010065442
T_itambere,8,20.863,5.39,1.906,2.678,1.451,0.513,0.164309577,0.074503734,0.017560699
T_montanus,11,25.581,7.212,2.175,1.585,0.701,0.211,0.063636364,0.029016591,0.008748831
T_oreadicus,5,20.75,12.155,6.077,1.144,0.26,0.13,0.090318954,0.046844237,0.015614746
T_pinima,10,6.539,0.781,0.26,0.528,0.621,0.196,0.0861,0.111626679,0.035299455
T_psammonastes,9,21.9025,9.246,3.269,1.208,0.708,0.25,0.086721799,0.047618208,0.011223719
T_semitaeniatus,8,9.737,1.437,0.543,0.806,0.954,0.337,0.07215,0.071967056,0.025444197
T_torquatus,6,16.04,3.036,1.358,2.843,2.004,0.818,0.191016667,0.151402079,0.06180964
